Country,Year,Total,Total Including Landuse,CO2 Only
Mozambique,1995,19.1645,55.921,1.1693
Mozambique,1996,19.3764,56.7662,1.1779
Mozambique,1997,18.1742,54.8046,1.3099
Mozambique,1998,20.1273,57.3559,1.2663
Mozambique,1999,19.381,56.2486,1.2563
Mozambique,2000,18.469,54.0593,1.4556
Mozambique,2001,20.1622,56.8198,1.4419
Mozambique,2002,18.9616,55.6626,1.6155
Mozambique,2003,22.5298,60.1163,1.9604
Mozambique,2004,21.5427,58.3441,1.9648
Mozambique,2005,22.8478,60.6634,1.7555
Mozambique,2006,21.7352,52.9307,1.9204
Mozambique,2007,23.5796,55.418,2.2998
Mozambique,2008,25.217,57.5639,2.3001
Mozambique,2009,24.1061,55.3551,2.5784
Mozambique,2010,26.4549,59.1991,2.7897
Mozambique,2011,24.7323,56.0857,3.2773
Mozambique,2012,24.8881,57.6554,2.6
Myanmar,1990,55.543,171.4805,4.3583
Myanmar,1991,55.1427,164.583,4.2232
Myanmar,1992,57.502,166.9452,4.3983
Myanmar,1993,60.0658,169.5119,4.9679
Myanmar,1994,62.5547,172.0038,5.8145
Myanmar,1995,65.5253,174.9772,7.1065
Myanmar,1996,66.0501,175.291,7.4628
Myanmar,1997,65.2577,173.8425,7.4065
Myanmar,1998,66.9773,179.045,8.0632
Myanmar,1999,71.6506,184.0809,9.1394
Myanmar,2000,73.6288,181.5085,9.7196
Myanmar,2001,73.5541,153.0978,8.5623
Myanmar,2002,74.6941,153.7995,8.5678
Myanmar,2003,79.7303,161.167,11.0123
Myanmar,2004,81.4758,173.0415,10.6567
Myanmar,2005,85.8817,169.0436,11.2277
Myanmar,2006,88.5806,172.1467,10.3407
Myanmar,2007,90.7405,184.3679,10.6874
Myanmar,2008,89.2154,171.757,8.2504
Myanmar,2009,90.1612,179.85,7.8767
Myanmar,2010,92.1139,184.4116,8.3991
Myanmar,2011,92.5415,175.6799,8.8024
Myanmar,2012,98.9275,184.7119,11.7416
Namibia,1990,7.4172,15.2765,0
Namibia,1991,8.7285,16.588,1.12
Namibia,1992,8.6899,16.5496,1.22
Namibia,1993,8.703,16.5628,1.42
Namibia,1994,8.914,16.774,1.641
Namibia,1995,9.0369,16.8971,1.781
Namibia,1996,8.9357,16.7672,1.9456
Namibia,1997,8.8012,16.6222,1.9856
Namibia,1998,9.4566,17.353,2.0833
Namibia,1999,9.3781,17.2263,1.97
Namibia,2000,10.0915,18.0018,1.92
Namibia,2001,9.8922,17.918,2.41
Namibia,2002,8.8743,16.927,2.08
Namibia,2003,8.8825,16.8733,2.22
Namibia,2004,9.3164,17.2942,2.33
Namibia,2005,10.0856,18.1057,2.33
Namibia,2006,11.0925,19.038,2.35
Namibia,2007,10.264,18.293,2.43
Namibia,2008,9.7556,17.8412,2.79
Namibia,2009,11.6155,19.634,2.86
Namibia,2010,11.2264,19.258,2.9937
Namibia,2011,14.23,22.3115,3.1346
Namibia,2012,14.4044,22.4902,3.18
Nauru,1990,0.1611,0.1611,0.1576
Nauru,1991,0.1575,0.1575,0.1539
Nauru,1992,0.1466,0.1466,0.1429
Nauru,1993,0.1431,0.1431,0.1392
Nauru,1994,0.1358,0.1358,0.1319
Nauru,1995,0.1322,0.1322,0.1282
Nauru,1996,0.1249,0.1249,0.1209
Nauru,1997,0.125,0.125,0.1209
Nauru,1998,0.1214,0.1214,0.1172
Nauru,1999,0.1142,0.1142,0.1099
Nauru,2000,0.1069,0.1069,0.1026
Nauru,2001,0.0997,0.0997,0.0953
Nauru,2002,0.0961,0.0961,0.0916
Nauru,2003,0.0889,0.0889,0.0843
Nauru,2004,0.0853,0.0853,0.0806
Nauru,2005,0.0928,0.0928,0.0879
Nauru,2006,0.0599,0.0599,0.055
Nauru,2007,0.0601,0.0601,0.055
Nauru,2008,0.0602,0.0602,0.055
Nauru,2009,0.0567,0.0567,0.0513
Nauru,2010,0.0604,0.0604,0.055
Nauru,2011,0.0569,0.0569,0.0513
Nauru,2012,0.1744,0.1744,0.1687
Nepal,1990,20.1511,53.1513,0.935
Nepal,1991,20.6201,53.9999,1.176
Nepal,1992,20.613,54.5548,1.2372
Nepal,1993,21.5483,56.0522,1.4156
Nepal,1994,22.4551,57.5209,1.7576
Nepal,1995,23.6523,59.2802,1.9012
Nepal,1996,24.3539,60.5087,1.9639
Nepal,1997,25.1202,61.7339,2.1936
Nepal,1998,25.8411,63.1829,2.3192
Nepal,1999,27.0446,65.1542,3.1129
Nepal,2000,27.5905,66.079,3.2102
Nepal,2001,27.9444,59.9687,3.4429
Nepal,2002,27.4264,59.3179,2.7829
Nepal,2003,27.9036,60.2365,3.0166
Nepal,2004,28.0842,60.4278,2.8029
Nepal,2005,28.7301,60.9372,3.1729
Nepal,2006,28.6028,34.2979,2.6166
Nepal,2007,28.8751,34.5291,2.6902
Nepal,2008,29.9165,35.7978,2.9966
Nepal,2009,31.2233,37.18,3.5566
Nepal,2010,32.2829,38.2736,4.2166
Nepal,2011,33.2635,39.156,4.4966
Nepal,2012,34.2477,40.3376,4.89
Netherlands,1990,208.4661,211.2032,157.8837
Netherlands,1991,217.6851,220.0954,166.8621
Netherlands,1992,216.1364,218.5387,165.4279
Netherlands,1993,220.1291,222.5235,169.7857
Netherlands,1994,221.639,224.0254,171.3951
Netherlands,1995,223.1712,225.5496,172.8495
Netherlands,1996,228.8789,231.2494,180.2723
Netherlands,1997,221.5327,223.8952,174.8323
Netherlands,1998,220.1842,222.5387,175.4206
Netherlands,1999,214.3197,216.6662,170.7605
Netherlands,2000,215.5336,217.8722,174.0167
Netherlands,2001,220.2223,222.715,179.9203
Netherlands,2002,218.5314,221.0191,180.0768
Netherlands,2003,221.5963,224.0788,184.6956
Netherlands,2004,222.2223,224.7055,186.2624
Netherlands,2005,216.3694,218.8417,181.4143
Netherlands,2006,213.4235,215.5369,179.7669
Netherlands,2007,214.8447,216.9581,182.4214
Netherlands,2008,216.1866,218.3,184.3343
Netherlands,2009,208.2237,210.337,177.5609
Netherlands,2010,218.2709,220.3842,188.4132
Netherlands,2011,206.0525,208.1659,176.3218
Netherlands,2012,205.4166,207.5299,175.2018
New Zealand,1990,65.1255,76.6793,22.7945
New Zealand,1991,64.7009,45.7579,23.1856
New Zealand,1992,65.774,46.9529,24.8626
New Zealand,1993,65.1247,46.4256,24.5194
New Zealand,1994,66.9345,48.3573,25.1644
New Zealand,1995,68.4419,49.9867,25.8021
New Zealand,1996,69.0166,50.6818,27.227
New Zealand,1997,71.4318,53.2176,29.489
New Zealand,1998,69.9888,51.8959,28.807
New Zealand,1999,71.9821,54.0104,30.4052
New Zealand,2000,72.9233,55.0752,31.4992
New Zealand,2001,75.2408,56.9951,33.4501
New Zealand,2002,76.3403,58.0575,33.4568
New Zealand,2003,77.714,59.3973,34.1408
New Zealand,2004,77.077,58.725,33.9157
New Zealand,2005,77.7309,59.3419,34.4669
New Zealand,2006,77.9906,59.5562,34.6268
New Zealand,2007,76.7121,58.3339,33.565
New Zealand,2008,76.9387,58.6057,34.8129
New Zealand,2009,74.4118,56.1292,32.0305
New Zealand,2010,74.3246,56.0972,31.9453
New Zealand,2011,74.0194,55.8416,31.2142
New Zealand,2012,76.5902,58.4731,32.9921
Nicaragua,1990,9.359,38.4195,2.4272
Nicaragua,1991,7.6831,36.6658,1.9309
Nicaragua,1992,8.5538,37.5368,2.2492
Nicaragua,1993,9.1617,38.1449,2.2082
Nicaragua,1994,9.491,38.4743,2.5339
Nicaragua,1995,8.9552,37.9387,2.6612
Nicaragua,1996,9.0445,37.9848,2.8295
Nicaragua,1997,9.7305,38.7515,3.0369
Nicaragua,1998,10.1601,39.6678,3.5269
Nicaragua,1999,11.1687,40.1728,3.5559
Nicaragua,2000,11.6722,40.7062,3.7838
Nicaragua,2001,11.8839,40.7689,3.9465
Nicaragua,2002,12.3363,41.2159,4.0848
Nicaragua,2003,13.0385,42.3643,4.3933
Nicaragua,2004,12.7899,41.6849,4.3601
Nicaragua,2005,13.0434,42.2093,4.2938
Nicaragua,2006,13.4563,42.3078,4.5038
Nicaragua,2007,13.6024,42.4704,4.6238
Nicaragua,2008,13.4374,42.3349,4.4538
Nicaragua,2009,13.7006,42.5636,4.4924
Nicaragua,2010,13.9463,42.7958,4.6604
Nicaragua,2011,14.3171,43.1584,4.7804
Nicaragua,2012,13.8675,42.7009,4.3
Niger,1990,10.8709,18.4184,0.8317
Niger,1991,11.2997,18.3754,0.8171
Niger,1992,11.7563,18.8332,0.7841
Niger,1993,12.3254,19.4034,0.8794
Niger,1994,12.8244,19.9036,0.872
Niger,1995,13.3761,20.4564,0.9197
Niger,1996,14.0317,21.1299,1.0149
Niger,1997,14.4825,21.5305,1.0113
Niger,1998,15.2564,22.4248,1.0736
Niger,1999,15.8622,22.9238,1.0552
Niger,2000,16.2906,23.3883,0.7951
Niger,2001,17.0153,19.3121,0.7621
Niger,2002,17.6208,19.9684,0.8134
Niger,2003,18.3666,20.6657,0.8794
Niger,2004,19.0581,21.3278,0.9673
Niger,2005,19.7059,21.9959,0.8281
Niger,2006,20.331,21.1529,0.8061
Niger,2007,21.2896,22.1421,0.8207
Niger,2008,22.2397,23.0898,0.916
Niger,2009,23.3494,24.227,1.1505
Niger,2010,24.3716,25.2404,1.352
Niger,2011,24.0495,24.9425,1.4216
Niger,2012,25.2216,26.0972,1.4108
Nigeria,1990,201.9279,385.7587,69.0971
Nigeria,1991,211.9359,391.7885,77.2941
Nigeria,1992,223.2169,403.3725,87.7243
Nigeria,1993,222.5187,402.9772,85.6579
Nigeria,1994,219.9282,400.6896,81.6976
Nigeria,1995,222.1044,403.1688,82.8123
Nigeria,1996,231.7709,413.5377,88.6736
Nigeria,1997,232.1148,412.5742,84.0199
Nigeria,1998,230.914,413.2153,77.003
Nigeria,1999,232.6783,413.6541,74.952
Nigeria,2000,238.0926,420.3557,76.6082
Nigeria,2001,252.8569,439.2758,86.6179
Nigeria,2002,257.7574,437.9191,87.8652
Nigeria,2003,265.0475,447.1474,90.4359
Nigeria,2004,268.9245,453.4442,90.7059
Nigeria,2005,286.0101,471.565,99.9962
Nigeria,2006,280.0231,463.1017,93.4052
Nigeria,2007,277.3278,459.3981,90.5413
Nigeria,2008,278.0454,457.1257,89.7983
Nigeria,2009,260.3374,438.2613,73.2383
Nigeria,2010,279.4831,459.0554,88.5624
Nigeria,2011,296.5309,474.6764,98.6743
Nigeria,2012,296.6786,474.8562,94.1782
Niue,1990,0.0328,0.0543,0.0037
Niue,1991,0.0322,0.0538,0.0037
Niue,1992,0.0316,0.0532,0.0037
Niue,1993,0.0311,0.0526,0.0037
Niue,1994,0.0305,0.0521,0.0037
Niue,1995,0.0336,0.0551,0.0073
Niue,1996,0.0345,0.056,0.0073
Niue,1997,0.0354,0.0569,0.0073
Niue,1998,0.0363,0.0578,0.0073
Niue,1999,0.0372,0.0586,0.0073
Niue,2000,0.0381,0.0595,0.0073
Niue,2001,0.0395,0.0609,0.0073
Niue,2002,0.0445,0.0659,0.011
Niue,2003,0.0459,0.0673,0.011
Niue,2004,0.0472,0.0686,0.011
Niue,2005,0.0486,0.07,0.011
Niue,2006,0.0503,0.0647,0.011
Niue,2007,0.0521,0.0665,0.011
Niue,2008,0.0538,0.0683,0.011
Niue,2009,0.0556,0.0701,0.011
Niue,2010,0.0573,0.0719,0.011
Niue,2011,0.0686,0.0833,0.011
Niue,2012,0.0724,0.0871,0.0035
Norway,1990,46.212,35.5593,29.9909
Norway,1991,43.6598,30.4117,28.028
Norway,1992,46.438,33.1391,31.4051
Norway,1993,47.1449,33.7952,32.7804
Norway,1994,48.2626,34.8621,34.4744
Norway,1995,47.6356,34.1844,34.4116
Norway,1996,48.4059,34.9049,35.1587
Norway,1997,50.0975,36.5453,36.8858
Norway,1998,51.8491,38.2456,38.664
Norway,1999,53.5902,39.9365,40.4292
Norway,2000,48.8096,35.1031,35.7827
Norway,2001,49.3731,25.1753,36.588
Norway,2002,48.6021,24.1297,36.0901
Norway,2003,51.3977,26.6506,39.0642
Norway,2004,51.5151,26.4934,39.4107
Norway,2005,50.1318,24.8377,38.2829
Norway,2006,50.8581,28.0469,39.3827
Norway,2007,51.084,28.0136,39.9475
Norway,2008,50.1468,26.8858,39.3231
Norway,2009,49.1896,25.6561,38.8166
Norway,2010,51.3214,27.5564,41.3218
Norway,2011,49.6064,25.6098,39.5303
Norway,2012,48.3319,24.1037,38.2427
Oman,1990,39.8152,39.8141,11.927
Oman,1991,45.4099,45.4088,16.1427
Oman,1992,45.5763,45.5752,14.9227
Oman,1993,46.1918,46.1907,14.1588
Oman,1994,47.3473,47.3462,13.9244
Oman,1995,50.4545,50.4534,15.6648
Oman,1996,51.9039,51.9028,15.9271
Oman,1997,54.5123,54.5112,17.3461
Oman,1998,55.7823,55.7812,17.3978
Oman,1999,60.0972,60.0961,20.4977
Oman,2000,63.1126,63.1115,22.354
Oman,2001,65.3719,65.3707,25.3674
Oman,2002,66.2763,66.2751,27.0648
Oman,2003,66.5168,66.5157,28.0722
Oman,2004,65.5856,65.5845,27.9008
Oman,2005,66.1338,66.1326,29.0132
Oman,2006,75.4955,75.4939,38.3252
Oman,2007,80.4137,80.4121,43.1876
Oman,2008,90.0496,90.048,52.6296
Oman,2009,95.8706,95.8689,58.2571
Oman,2010,99.9598,99.9582,62.2802
Oman,2011,108.1125,108.1109,69.554
Oman,2012,109.319,109.3174,69.9356
Pakistan,1990,156.8659,182.7324,64.357
Pakistan,1991,157.6988,179.6685,63.5792
Pakistan,1992,165.6407,187.5349,68.9138
Pakistan,1993,173.7763,195.595,74.2676
Pakistan,1994,179.6954,201.4386,77.9777
Pakistan,1995,189.4462,211.1138,83.7996
Pakistan,1996,199.402,220.9937,90.4734
Pakistan,1997,205.7375,227.2525,93.7647
Pakistan,1998,210.1694,231.6144,95.6771
Pakistan,1999,222.5448,243.9121,104.5052
Pakistan,2000,224.4195,245.7106,104.1617
Pakistan,2001,227.9175,248.489,105.8513
Pakistan,2002,234.0789,254.6328,108.2613
Pakistan,2003,242.2847,262.8171,112.248
Pakistan,2004,259.4175,279.9321,125.5546
Pakistan,2005,267.923,288.422,128.9712
Pakistan,2006,286.6163,308.7107,140.1722
Pakistan,2007,303.2009,325.1987,154.3077
Pakistan,2008,306.2425,328.4243,151.0585
Pakistan,2009,318.065,339.9678,155.8451
Pakistan,2010,312.8058,334.614,151.7551
Pakistan,2011,319.6506,341.3638,152.3357
Pakistan,2012,320.0227,341.6456,152.1753
Palau,1990,,,
Palau,1991,,,
Palau,1992,0.1251,-0.011,0.1136
Palau,1993,0.1218,-0.0144,0.1099
Palau,1994,0.1221,-0.0237,0.1099
Palau,1995,0.1261,-0.0392,0.1136
Palau,1996,0.1301,0.0328,0.1172
Palau,1997,0.1305,-0.0638,0.1172
Palau,1998,0.1309,0.0335,0.1172
Palau,1999,0.1312,0.0339,0.1172
Palau,2000,0.1316,-0.0627,0.1172
Palau,2001,0.1978,0.1004,0.1832
Palau,2002,0.198,0.0036,0.1832
Palau,2003,0.2056,0.1082,0.1905
Palau,2004,0.2022,0.0077,0.1869
Palau,2005,0.2061,0.1086,0.1905
Palau,2006,0.2173,0.2173,0.2015
Palau,2007,0.2248,0.2248,0.2088
Palau,2008,0.2251,0.2251,0.2088
Palau,2009,0.2253,0.2253,0.2088
Palau,2010,0.2329,0.2329,0.2162
Palau,2011,0.2793,0.2793,0.2235
Palau,2012,,,
Panama,1990,7.2599,27.4887,2.7202
Panama,1991,7.7271,26.5139,3.1502
Panama,1992,8.372,27.158,3.6646
Panama,1993,8.6341,27.4193,3.8558
Panama,1994,8.9047,27.6891,4.1078
Panama,1995,9.2428,28.0263,4.4178
Panama,1996,9.4279,28.2095,4.5224
Panama,1997,9.5281,28.3101,4.7681
Panama,1998,10.711,29.497,5.8537
Panama,1999,9.9988,28.7783,5.1474
Panama,2000,10.2771,29.0613,5.4127
Panama,2001,11.5681,17.6958,6.3104
Panama,2002,10.8373,16.9731,5.5437
Panama,2003,10.9534,17.0878,5.6533
Panama,2004,11.1938,17.3298,5.9003
Panama,2005,12.8093,18.933,7.344
Panama,2006,13.2351,19.3055,7.724
Panama,2007,13.0685,19.1227,7.574
Panama,2008,13.2225,19.2783,7.5297
Panama,2009,14.683,20.7604,8.9154
Panama,2010,15.27,21.3196,9.387
Panama,2011,16.2181,22.2676,10.117
Panama,2012,15.9865,22.0508,9.88
Papua New Guinea,1990,9.0092,97.1077,2.1434
Papua New Guinea,1991,9.7426,97.2269,2.0665
Papua New Guinea,1992,10.5831,98.0592,2.0555
Papua New Guinea,1993,11.3652,98.8331,1.9969
Papua New Guinea,1994,12.3913,99.8509,2.1801
Papua New Guinea,1995,13.109,100.5603,2.0592
Papua New Guinea,1996,13.0568,98.316,2.1874
Papua New Guinea,1997,13.4529,123.3566,2.5758
Papua New Guinea,1998,13.4003,98.9765,2.8616
Papua New Guinea,1999,12.8298,98.3476,2.4439
Papua New Guinea,2000,12.8799,98.2404,2.6637
Papua New Guinea,2001,13.3281,98.5058,3.206
Papua New Guinea,2002,13.5561,101.4967,3.4845
Papua New Guinea,2003,13.8913,100.0645,3.9425
Papua New Guinea,2004,14.3727,105.1496,4.4847
Papua New Guinea,2005,13.9856,99.0377,4.3785
Papua New Guinea,2006,14.048,102.5607,4.3052
Papua New Guinea,2007,15.885,102.5532,6.1152
Papua New Guinea,2008,14.6492,102.306,4.7888
Papua New Guinea,2009,15.1224,102.0019,5.0893
Papua New Guinea,2010,14.7594,102.458,4.6606
Papua New Guinea,2011,15.3841,101.7175,5.2285
Papua New Guinea,2012,13.6737,99.9215,3.3847
Paraguay,1990,22.1707,92.945,2.0712
Paraguay,1991,21.1494,91.4476,2.0312
Paraguay,1992,22.0988,92.5281,2.4012
Paraguay,1993,23.936,94.4965,2.8355
Paraguay,1994,25.4594,96.1511,3.3698
Paraguay,1995,27.2389,98.0618,3.7751
Paraguay,1996,27.1232,97.8522,3.7241
Paraguay,1997,27.7211,99.0153,4.1371
Paraguay,1998,28.1499,99.2832,4.3427
Paraguay,1999,28.601,102.2049,4.3527
Paraguay,2000,26.9251,97.5686,3.5724
Paraguay,2001,27.7624,101.0283,3.7024
Paraguay,2002,27.2437,101.3919,3.7835
Paraguay,2003,29.2673,103.577,3.9401
Paraguay,2004,28.0237,101.9314,3.9645
Paraguay,2005,28.4747,103.1277,3.7148
Paraguay,2006,29.1354,102.4063,3.9904
Paraguay,2007,31.0208,106.3761,4.1304
Paraguay,2008,30.317,103.5554,4.0604
Paraguay,2009,32.2635,105.3325,4.4304
Paraguay,2010,34.5931,107.9308,4.9904
Paraguay,2011,35.5197,109.4061,5.2104
Paraguay,2012,36.8601,110.9796,5.06
Peru,1990,44.283,110.5354,20.805
Peru,1991,43.3214,88.4513,20.0107
Peru,1992,44.2524,89.382,20.8424
Peru,1993,45.7266,90.8558,21.8497
Peru,1994,47.835,92.964,22.9267
Peru,1995,52.0128,97.1416,25.982
Peru,1996,55.1311,100.2428,28.0616
Peru,1997,56.3426,101.5349,28.3573
Peru,1998,56.3609,101.6238,27.1025
Peru,1999,60.4494,105.6397,29.1889
Peru,2000,60.8923,105.9352,28.694
Peru,2001,59.1473,103.7881,26.7422
Peru,2002,61.0784,105.7443,28.0168
Peru,2003,61.1437,105.8116,27.4201
Peru,2004,65.8232,110.4509,31.9275
Peru,2005,67.0801,112.338,31.9407
Peru,2006,67.32,138.3975,31.909
Peru,2007,70.9194,142.0258,34.6525
Peru,2008,76.2337,147.306,39.6021
Peru,2009,80.138,151.2017,42.3815
Peru,2010,84.4933,155.7669,46.6363
Peru,2011,87.4625,158.5161,49.0532
Peru,2012,88.2381,159.4985,49.6038
Philippines,1990,89.895,103.3001,41.0994
Philippines,1991,89.7797,83.6046,40.5942
Philippines,1992,92.5407,86.5879,43.9632
Philippines,1993,97.6697,91.9392,47.7781
Philippines,1994,104.9791,99.4709,51.8805
Philippines,1995,116.8688,111.5828,62.1478
Philippines,1996,125.1784,120.1064,67.6622
Philippines,1997,133.7338,128.8996,75.577
Philippines,1998,127.946,123.463,75.063
Philippines,1999,132.4475,128.0496,72.6381
Philippines,2000,134.0767,129.9077,73.3977
Philippines,2001,133.1536,129.103,71.5424
Philippines,2002,135.1454,131.3973,73.2815
Philippines,2003,138.2343,134.667,75.0881
Philippines,2004,141.776,138.4284,76.6473
Philippines,2005,143.2692,140.2097,78.6675
Philippines,2006,136.1711,133.2373,71.0521
Philippines,2007,141.9394,139.2179,74.9714
Philippines,2008,145.259,142.7403,77.219
Philippines,2009,147.6664,145.378,78.3022
Philippines,2010,153.9873,152.0168,84.5583
Philippines,2011,155.4668,153.6215,85.2491
Philippines,2012,159.2298,157.5931,87.825
Poland,1990,423.4465,401.9778,348.3688
Poland,1991,421.7071,395.1602,348.697
Poland,1992,411.3302,384.6361,340.122
Poland,1993,411.6299,384.7886,341.3932
Poland,1994,407.6991,380.7106,336.922
Poland,1995,408.8503,381.7147,338.0623
Poland,1996,423.5681,396.2815,353.8043
Poland,1997,413.8793,386.4501,343.5546
Poland,1998,388.2919,360.7119,320.0599
Poland,1999,377.4251,349.7035,310.7694
Poland,2000,363.5905,335.7201,298.4165
Poland,2001,359.9944,317.3193,295.5293
Poland,2002,348.9204,306.0618,284.8857
Poland,2003,361.0316,317.7686,296.0674
Poland,2004,364.4817,320.8926,299.7018
Poland,2005,364.913,321.0281,299.2757
Poland,2006,376.8725,333.4467,311.72
Poland,2007,377.4582,333.7264,312.3092
Poland,2008,371.9187,327.9297,308.2372
Poland,2009,358.2406,313.9254,296.3234
Poland,2010,375.7089,331.1434,314.2613
Poland,2011,371.6382,326.7329,310.1117
Poland,2012,367.2521,322.0662,302.892
Portugal,1990,57.9743,59.5063,43.0474
Portugal,1991,59.6379,60.1275,44.4926
Portugal,1992,63.6116,64.1066,48.4369
Portugal,1993,62.4311,62.9316,47.1959
Portugal,1994,64.377,64.883,48.7654
Portugal,1995,68.0594,68.5708,52.2687
Portugal,1996,66.539,67.1225,50.6136
Portugal,1997,69.0025,69.5131,53.1726
Portugal,1998,73.8331,74.3907,57.9739
Portugal,1999,80.5601,81.0998,64.7663
Portugal,2000,80.0618,80.5727,64.3552
Portugal,2001,79.6582,80.1101,63.8936
Portugal,2002,84.0058,84.4435,67.6321
Portugal,2003,79.1194,79.6687,62.5986
Portugal,2004,80.6288,81.0711,64.1078
Portugal,2005,83.3738,84.6542,66.9863
Portugal,2006,77.7846,77.8848,61.645
Portugal,2007,78.2819,78.2863,62.1448
Portugal,2008,73.2806,73.2721,57.2423
Portugal,2009,72.6551,72.6625,56.7968
Portugal,2010,67.3447,67.4627,51.6771
Portugal,2011,67.0834,67.1001,51.2873
Portugal,2012,68.3942,68.4781,52.5081
Qatar,1990,16.0118,16.0118,14.4119
Qatar,1991,18.2382,18.2382,16.554
Qatar,1992,18.4776,18.4776,16.7011
Qatar,1993,19.4095,19.4095,17.5411
Qatar,1994,20.2971,20.2971,18.3145
Qatar,1995,21.1237,21.1237,19.0582
Qatar,1996,22.2464,22.2464,20.0644
Qatar,1997,24.1012,24.1012,21.7744
Qatar,1998,25.709,25.709,23.241
Qatar,1999,27.9931,27.9931,25.3793
Qatar,2000,27.3335,27.3335,24.5746
Qatar,2001,29.2346,29.2346,26.3554
Qatar,2002,33.4925,33.4925,30.443
Qatar,2003,35.184,35.184,31.9623
Qatar,2004,38.8066,38.8066,35.0923
Qatar,2005,48.2549,48.2549,44.6814
Qatar,2006,52.4802,52.4802,48.7389
Qatar,2007,58.4276,58.4276,54.0161
Qatar,2008,63.2331,63.2331,59.0729
Qatar,2009,68.3537,68.3537,63.7023
Qatar,2010,73.0073,73.0073,67.8623
Qatar,2011,75.9245,75.9245,70.135
Qatar,2012,85.2547,85.2547,79.1309
Romania,1990,237.2002,238.8214,172.2192
Romania,1991,203.0358,204.6571,144.5042
Romania,1992,184.6406,186.2619,129.4654
Romania,1993,171.4125,173.0337,119.5807
Romania,1994,165.8461,167.4673,116.2869
Romania,1995,168.0286,169.6499,120.9012
Romania,1996,171.2013,172.7723,125.1461
Romania,1997,160.4767,161.9966,115.4584
Romania,1998,144.1895,145.7303,100.8884
Romania,1999,128.5652,130.0903,86.9544
Romania,2000,130.2747,131.8026,90.0591
Romania,2001,134.4757,134.3612,94.5449
Romania,2002,132.7909,132.6673,94.0386
Romania,2003,138.7432,138.7745,100.0262
Romania,2004,137.1328,136.9302,97.6807
Romania,2005,137.2214,137.0291,97.9728
Romania,2006,139.6415,128.6347,100.811
Romania,2007,137.6533,127.2794,99.0724
Romania,2008,136.8777,126.03,97.8828
Romania,2009,121.0971,109.8747,82.4988
Romania,2010,117.1514,105.9469,78.9118
Romania,2011,122.233,111.8511,85.1281
Romania,2012,118.9697,108.6718,82.4578
Russian Federation,1990,,,2222.8209
Russian Federation,1991,,,2213.0351
Russian Federation,1992,2738.1249,2831.4963,2039.9103
Russian Federation,1993,2514.8308,2735.3596,1853.0639
Russian Federation,1994,2248.155,2468.7088,1630.1762
Russian Federation,1995,2153.4682,2374.0177,1576.9181
Russian Federation,1996,2109.8814,2340.5037,1540.6536
Russian Federation,1997,1997.6744,2182.478,1439.724
Russian Federation,1998,1981.0265,2213.3044,1429.5059
Russian Federation,1999,2015.1127,2212.5857,1470.3604
Russian Federation,2000,2060.0233,2263.5347,1512.8636
Russian Federation,2001,2071.9134,2108.7199,1515.6909
Russian Federation,2002,2076.0941,2139.5383,1514.7774
Russian Federation,2003,2121.5411,2249.0593,1547.9598
Russian Federation,2004,2129.7173,2135.8249,1556.9974
Russian Federation,2005,2141.3507,2163.4039,1562.6682
Russian Federation,2006,2201.107,2060.4128,1621.6612
Russian Federation,2007,2210.4605,2056.4611,1626.3681
Russian Federation,2008,2239.846,2227.4111,1647.6993
Russian Federation,2009,2127.8464,2007.7268,1535.1824
Russian Federation,2010,2230.0331,2090.225,1636.502
Russian Federation,2011,2310.0539,2180.625,1712.8704
Russian Federation,2012,2322.2167,2254.4727,1721.5376
Rwanda,1990,3.7472,13.9574,0.5386
Rwanda,1991,3.8209,12.6581,0.4873
Rwanda,1992,3.8521,12.8024,0.4873
Rwanda,1993,3.8705,12.934,0.491
Rwanda,1994,3.8509,13.0276,0.469
Rwanda,1995,3.7333,13.0232,0.4617
Rwanda,1996,3.8629,13.2467,0.48
Rwanda,1997,3.96,13.6403,0.4946
Rwanda,1998,4.0822,13.883,0.4873
Rwanda,1999,4.2624,13.9271,0.513
Rwanda,2000,4.3165,14.0578,0.5276
Rwanda,2001,4.4381,-3.9823,0.5276
Rwanda,2002,4.548,-4.2293,0.5313
Rwanda,2003,4.8086,-4.3263,0.5203
Rwanda,2004,4.9801,-4.678,0.5276
Rwanda,2005,5.0769,-5.1501,0.5276
Rwanda,2006,5.2996,4.6237,0.5276
Rwanda,2007,5.6122,4.9254,0.5533
Rwanda,2008,5.8233,5.1964,0.5423
Rwanda,2009,6.01,5.2923,0.5716
Rwanda,2010,6.2804,5.6905,0.5862
Rwanda,2011,6.2872,5.5151,0.6595
Rwanda,2012,6.4904,5.7218,0.7693
Saint Kitts & Nevis,1990,0.1295,0.1017,0.066
Saint Kitts & Nevis,1991,0.1381,0.1103,0.0733
Saint Kitts & Nevis,1992,0.1387,0.1108,0.0733
Saint Kitts & Nevis,1993,0.1521,0.1242,0.0843
Saint Kitts & Nevis,1994,0.1556,0.1278,0.0879
Saint Kitts & Nevis,1995,0.163,0.1351,0.0953
Saint Kitts & Nevis,1996,0.1723,0.1445,0.1026
Saint Kitts & Nevis,1997,0.1747,0.1469,0.1026
Saint Kitts & Nevis,1998,0.1762,0.1484,0.1026
Saint Kitts & Nevis,1999,0.1778,0.15,0.1026
Saint Kitts & Nevis,2000,0.1796,0.1518,0.1026
